customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-000001,Male,0,Yes,No,63,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,76.99,4823.92,No
CUST-000002,Female,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.24,553.34,No
CUST-000003,Female,0,No,Yes,57,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer (automatic),54.29,3188.43,No
CUST-000004,Male,0,Yes,No,27,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,63.99,1760.95,No
CUST-000005,Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,104.14,713.41,No
CUST-000006,Female,0,No,No,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),106.04,3661.73,No
CUST-000007,Male,0,No,No,34,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),65.74,2195.09,Yes
CUST-000008,Female,0,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),99.27,3411.27,No
CUST-000009,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),91.67,5695.05,Yes
CUST-000010,Male,0,No,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.36,703.65,Yes
CUST-000011,Female,0,No,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.08,3809.05,Yes
CUST-000012,Female,0,No,Yes,14,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),62.37,893.87,No
CUST-000013,Female,0,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,28.27,1820.44,No
CUST-000014,Female,0,Yes,Yes,33,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),74.37,2518.7,Yes
CUST-000015,Female,0,Yes,No,58,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,93.21,5484.72,Yes
CUST-000016,Female,0,No,No,19,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.39,1355.96,No
CUST-000017,Female,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,87.97,2012.58,Yes
CUST-000018,Male,0,No,No,71,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,63.18,4641.17,Yes
